
Default Sounds/Memmory/Default

Monsters/Monster_toejammer_rare Sounds/Memmory/Monster_toejammer
Monsters/Monster_potbelly_rare Sounds/Memmory/Monster_potbelly
Monsters/Monster_tweedle_rare Sounds/Memmory/Monster_tweedle
Monsters/Monster_flootfly_rare Sounds/Memmory/Monster_flootfly
Monsters/Monster_wadee_rare Sounds/Memmory/Monster_wadee
Monsters/Monster_choral_rare Sounds/Memmory/Monster_choral
Monsters/Monster_likho_rare Sounds/Memmory/Monster_likho
Monsters/Monster_oaktopus_rare Sounds/Memmory/Monster_oaktopus
Monsters/Monster_quibble_rare Sounds/Memmory/Monster_quibble
Monsters/Monster_spunge_rare Sounds/Memmory/Monster_spunge
Monsters/Monster_dulsylvan_rare Sounds/Memmory/Monster_dulsylvan
Monsters/Monster_banno_rare Sounds/Memmory/Monster_banno
Monsters/Monster_dandidoo_rare Sounds/Memmory/Monster_dandidoo
Monsters/Monster_varrow_rare Sounds/Memmory/Monster_varrow
Monsters/Monster_stoopa_rare Sounds/Memmory/Monster_stoopa

Monsters/Monster_toejammer Sounds/Memmory/Monster_toejammer
Monsters/Monster_potbelly Sounds/Memmory/Monster_potbelly
Monsters/Monster_tweedle Sounds/Memmory/Monster_tweedle
Monsters/Monster_flootfly Sounds/Memmory/Monster_flootfly
Monsters/Monster_wadee Sounds/Memmory/Monster_wadee
Monsters/Monster_choral Sounds/Memmory/Monster_choral
Monsters/Monster_likho Sounds/Memmory/Monster_likho
Monsters/Monster_oaktopus Sounds/Memmory/Monster_oaktopus
Monsters/Monster_quibble Sounds/Memmory/Monster_quibble
Monsters/Monster_spunge Sounds/Memmory/Monster_spunge
Monsters/Monster_dulsylvan Sounds/Memmory/Monster_dulsylvan
Monsters/Monster_banno Sounds/Memmory/Monster_banno
Monsters/Monster_dandidoo Sounds/Memmory/Monster_dandidoo
Monsters/Monster_varrow Sounds/Memmory/Monster_varrow
Monsters/Monster_stoopa Sounds/Memmory/Monster_stoopa


Monsters/Monster_jobo Sounds/Memmory/Monster_jobo

Monsters/Monster_toejammer_undof Sounds/Memmory/Monster_toejammer_undof
Monsters/Monster_floodbud_undof Sounds/Memmory/Monster_toejammer_undof
Monsters/Monster_floodbud_rare_undof Sounds/Memmory/Monster_toejammer_undof

Monsters/Monster_kayna_undof Sounds/Memmory/Monster_kayna_undof
Monsters/Monster_kayna_rare_undof Sounds/Memmory/Monster_kayna_undof
Monsters/Monster_wicka_undof Sounds/Memmory/Monster_kayna_undof
Monsters/Monster_wicka_rare_undof Sounds/Memmory/Monster_kayna_undof

Monsters/Monster_noggin_undof Sounds/Memmory/Monster_noggin_undof
Monsters/Monster_noggin_rare_undof Sounds/Memmory/Monster_noggin_undof
Monsters/Monster_burrythm_undof Sounds/Memmory/Monster_noggin_undof
Monsters/Monster_burrythm_rare_undof Sounds/Memmory/Monster_noggin_undof

Monsters/Monster_marshflamo Sounds/Memmory/Monster_marshflamo
Monsters/Monster_marshflamo_rare Sounds/Memmory/Monster_marshflamo

Monsters/Monster_phangler_undof Sounds/Memmory/Monster_phangler_undof


Monsters/Scaratar Sounds/Memmory/Monster_scaratar
Monsters/Loodvigg Sounds/Memmory/Monster_loodvigg
